store,day_of_week,date,sales,customers,open,promo,state_holiday,school_holiday,store_type,assortment,competition_distance,competition_open_since_month,competition_open_since_year,promo2,promo2_since_week,promo2_since_year,promo_interval,month_map,is_promo
24,5,2015-07-31,14190,1082,1,1,0,1,a,c,4590.0,3,2000,1,40,2011,"Jan,Apr,Jul,Oct",Jul,1
25,5,2015-07-31,14180,1586,1,1,0,1,c,a,430.0,4,2003,0,31,2015,0,Jul,0
26,5,2015-07-31,7818,611,1,1,0,1,d,a,2300.0,7,2015,0,31,2015,0,Jul,0
27,5,2015-07-31,13213,1263,1,1,0,1,a,a,60.0,1,2005,1,5,2011,"Jan,Apr,Jul,Oct",Jul,1
28,5,2015-07-31,7301,663,1,1,0,1,a,a,1200.0,10,2014,1,6,2015,"Mar,Jun,Sept,Dec",Jul,0
29,5,2015-07-31,9411,737,1,1,0,1,d,c,2170.0,7,2015,0,31,2015,0,Jul,0
30,5,2015-07-31,4776,625,1,1,0,1,a,a,40.0,2,2014,1,10,2014,"Mar,Jun,Sept,Dec",Jul,0
31,5,2015-07-31,7248,645,1,1,0,1,d,c,9800.0,7,2012,0,31,2015,0,Jul,0
32,5,2015-07-31,6395,635,1,1,0,0,a,a,2910.0,7,2015,1,45,2009,"Feb,May,Aug,Nov",Jul,0
33,5,2015-07-31,10789,915,1,1,0,1,a,c,1320.0,5,2013,0,31,2015,0,Jul,0
34,5,2015-07-31,11144,1162,1,1,0,1,c,a,2240.0,9,2009,0,31,2015,0,Jul,0
35,5,2015-07-31,12412,777,1,1,0,1,d,c,7660.0,10,2000,1,1,2012,"Jan,Apr,Jul,Oct",Jul,1
36,5,2015-07-31,12422,1251,1,1,0,0,a,c,540.0,6,2003,1,40,2014,"Jan,Apr,Jul,Oct",Jul,1
37,5,2015-07-31,9091,888,1,1,0,1,c,a,4230.0,12,2014,0,31,2015,0,Jul,0
38,5,2015-07-31,7434,608,1,1,0,1,d,a,1090.0,4,2007,0,31,2015,0,Jul,0
39,5,2015-07-31,8336,929,1,1,0,1,a,a,260.0,10,2006,1,31,2013,"Feb,May,Aug,Nov",Jul,0
40,5,2015-07-31,5464,678,1,1,0,1,a,a,180.0,7,2015,1,45,2009,"Feb,May,Aug,Nov",Jul,0
41,5,2015-07-31,6938,494,1,1,0,0,d,c,1180.0,7,2015,1,31,2013,"Jan,Apr,Jul,Oct",Jul,1
42,5,2015-07-31,11946,1235,1,1,0,1,a,c,290.0,7,2015,1,40,2011,"Jan,Apr,Jul,Oct",Jul,1
43,5,2015-07-31,8096,683,1,1,0,1,d,a,4880.0,7,2015,1,37,2009,"Jan,Apr,Jul,Oct",Jul,1
44,5,2015-07-31,6670,665,1,1,0,1,a,a,540.0,6,2011,0,31,2015,0,Jul,0
45,5,2015-07-31,6301,442,1,1,0,1,d,a,9710.0,2,2014,0,31,2015,0,Jul,0
46,5,2015-07-31,7628,775,1,1,0,0,c,a,1200.0,9,2005,1,14,2011,"Jan,Apr,Jul,Oct",Jul,1
47,5,2015-07-31,9379,1021,1,1,0,1,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",Jul,1
48,5,2015-07-31,3874,390,1,1,0,1,a,a,1060.0,5,2012,0,31,2015,0,Jul,0
49,5,2015-07-31,10310,666,1,1,0,1,d,c,18010.0,9,2007,0,31,2015,0,Jul,0
50,5,2015-07-31,5729,441,1,1,0,1,d,a,6260.0,11,2009,0,31,2015,0,Jul,0
